epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,224.979,2.05759,6.69525,1.88462,0.32817,0.20692,0.17771,0.074,2.2468,8.57342,1.96916,0.000499506,0.000499506,0.0505489
2,451.915,1.98939,5.87338,1.8215,0.36829,0.35661,0.30319,0.12052,2.14254,6.12367,1.91427,0.000998828,0.000998828,0.00104823
3,650.893,1.90917,5.52451,1.75032,0.44176,0.40918,0.37935,0.15447,2.05442,5.64228,1.80681,0.000997288,0.000997288,0.000997288
4,940.949,1.85695,5.23975,1.70423,0.45489,0.42604,0.38511,0.16789,1.98923,5.63535,1.77756,0.000993906,0.000993906,0.000993906
5,1231.61,1.8241,5.10995,1.6862,0.4658,0.43109,0.40134,0.1697,1.98602,5.4692,1.78866,0.000989183,0.000989183,0.000989183
6,1523.15,1.79897,4.94605,1.66093,0.47513,0.45234,0.4193,0.1869,1.98271,5.40388,1.77815,0.000983133,0.000983133,0.000983133
7,1813.46,1.77468,4.82702,1.64193,0.515,0.47574,0.46147,0.20185,1.93489,5.01508,1.73099,0.000975773,0.000975773,0.000975773
8,2098.39,1.75767,4.754,1.63047,0.56596,0.49762,0.50341,0.23836,1.872,4.79201,1.66513,0.000967122,0.000967122,0.000967122
9,2385.06,1.74074,4.64732,1.61343,0.54522,0.49321,0.49372,0.22569,1.88497,4.90409,1.6965,0.000957205,0.000957205,0.000957205
10,2671.27,1.73198,4.59158,1.60744,0.56748,0.48916,0.50694,0.23465,1.88396,4.7178,1.66799,0.000946048,0.000946048,0.000946048
11,2959.34,1.71955,4.50805,1.59509,0.55476,0.51546,0.51667,0.24233,1.88949,4.69517,1.68608,0.000933683,0.000933683,0.000933683
12,3248.97,1.7138,4.46043,1.58727,0.56796,0.52279,0.528,0.24769,1.85573,4.65269,1.66063,0.000920142,0.000920142,0.000920142
13,3534.62,1.69955,4.37389,1.57572,0.59233,0.52502,0.54216,0.25815,1.83902,4.7986,1.62353,0.000905463,0.000905463,0.000905463
14,3821.04,1.69271,4.31999,1.56938,0.58636,0.53582,0.55238,0.26431,1.83386,4.39374,1.62559,0.000889687,0.000889687,0.000889687
15,4105.59,1.67776,4.27308,1.55776,0.59829,0.53881,0.56243,0.27528,1.80735,4.3489,1.61544,0.000872857,0.000872857,0.000872857
16,4388.48,1.66629,4.20372,1.54518,0.60291,0.56051,0.58019,0.2813,1.79257,4.35547,1.58884,0.000855018,0.000855018,0.000855018
17,4671.79,1.66242,4.16885,1.54721,0.62108,0.54377,0.57553,0.27993,1.79769,4.32179,1.59034,0.00083622,0.00083622,0.00083622
18,4954.48,1.66098,4.14519,1.54308,0.61848,0.56343,0.58962,0.29381,1.77777,4.2226,1.57827,0.000816514,0.000816514,0.000816514
19,5236.18,1.64795,4.07682,1.53365,0.63446,0.56032,0.59335,0.29676,1.78077,4.20783,1.58246,0.000795954,0.000795954,0.000795954
20,5517.66,1.63592,4.01053,1.51945,0.62844,0.57149,0.6025,0.30178,1.76763,4.16422,1.56283,0.000774596,0.000774596,0.000774596
21,5801.05,1.63067,3.99281,1.52122,0.63298,0.57153,0.59997,0.30002,1.75698,4.10323,1.56389,0.0007525,0.0007525,0.0007525
22,6082.26,1.62212,3.94361,1.51066,0.64573,0.57443,0.60568,0.3056,1.7563,4.08854,1.55934,0.000729725,0.000729725,0.000729725
